incident_id;offense_id;offense_code;offense_code_extension;offense_type_id;offense_category_id;first_occurrence_date;incident_address;geo_x;geo_y;geo_lon;geo_lat;district_id;precinct_id;neighborhood_id;is_crime;is_traffic;victim_count
2023525;2,02353E+12;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/1/2023 4:26:00 AM;6900 E EVANS AVE;3,16682E+13;1,67233E+13;-1049073281;396778367;3;323;goldsmith;1;0;6
20231002;2,0231E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/1/2023 12:00:00 AM;13400 E ALBROOK DR;3,1859E+13;1,70904E+13;-1048385759;397782557;5;521;montbello;1;0;1
20231473;2,02315E+13;1315;0;aggravated-assault;aggravated-assault;1/1/2023 6:33:00 PM;250 S DECATUR ST;3,13438E+13;1,68464E+13;-1050223338;397121686;4;411;valverde;1;0;1
2023746;2,02375E+12;1315;0;aggravated-assault;aggravated-assault;1/1/2023 6:51:00 AM;5100 LEETSDALE DR;3,16102E+13;1,68306E+13;-1049277006;397074059;3;322;washington-virginia-vale;1;0;1
2023295;2,0233E+12;1315;0;aggravated-assault;aggravated-assault;1/1/2023 1:40:00 AM;9201 E MISSISSIPPI AVE;3,17506E+13;1,68027E+13;-1048778466;396994933;3;321;windsor;1;0;1
2023890;2,02389E+12;1315;1;aggravated-assault-dv;aggravated-assault;1/1/2023 5:00:00 AM;;;;;;3;323;kennedy;1;0;1
2023542;2,02354E+12;1315;1;aggravated-assault-dv;aggravated-assault;1/1/2023 4:30:00 AM;;;;;;2;223;east-colfax;1;0;1
2023558;2,02356E+12;1315;2;menacing-felony-w-weap;aggravated-assault;1/1/2023 5:00:00 AM;3550 S HARLAN ST;3,12384E+13;1,66275E+13;-1050601887;396522186;4;423;bear-valley;1;0;1
20231504;2,02315E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/1/2023 6:30:00 PM;725 S KRAMERIA ST;3,1641E+13;1,68168E+13;-1049167603;397035691;3;322;washington-virginia-vale;1;0;1
2023326;2,02333E+12;1315;6;agg-aslt-shoot;aggravated-assault;1/1/2023 2:05:00 AM;1500 BLK COURT PL;3,14367E+13;1,69546E+13;-1049890933;397417219;6;611;cbd;1;0;2
20231616;2,02316E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/1/2023 9:01:00 PM;19411 E 45TH AVE;3,20794E+13;1,70868E+13;-1047601880;397768202;5;523;gateway-green-valley-ranch;1;0;3
20232837;2,02328E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/1/2023 11:30:00 PM;4103 W RADCLIFF AVE;3,12904E+13;1,6574E+13;-1050417994;396374635;4;423;fort-logan;1;0;7
20231748;2,02317E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/1/2023 9:17:00 PM;4987 N EUGENE CT;3,19228E+13;1,71063E+13;-1048158668;397824964;5;521;montbello;1;0;1
20231608;2,02316E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/1/2023 8:57:00 PM;5772 N CEYLON ST;3,20662E+13;1,71759E+13;-1047646382;398013084;5;522;dia;1;0;2
20231119;2,02311E+13;1315;0;aggravated-assault;aggravated-assault;1/1/2023 1:47:00 PM;2180 STOUT ST;3,14456E+13;1,69893E+13;-1049858657;397512366;6;621;five-points;1;0;1
20231643;2,02316E+13;1315;0;aggravated-assault;aggravated-assault;1/1/2023 9:00:00 PM;860 S ONEIDA ST;3,16728E+13;1,68076E+13;-1049054942;397009843;3;322;washington-virginia-vale;1;0;1
20232588;2,02326E+13;1315;1;aggravated-assault-dv;aggravated-assault;1/2/2023 1:00:00 PM;;;;;;3;313;university;1;0;1
20232715;2,02327E+13;1315;1;aggravated-assault-dv;aggravated-assault;1/2/2023 3:18:00 PM;;;;;;2;212;clayton;1;0;1
20231256;2,02313E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/1/2023 3:24:00 PM;4958 N PERTH CT;3,21499E+13;1,71159E+13;-1047350302;397846317;5;523;gateway-green-valley-ranch;1;0;1
20232862;2,02329E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/2/2023 4:51:00 PM;E 47TH AVE / N PEORIA ST;3,18352E+13;1,71053E+13;-1048470124;397823878;5;511;montbello;1;0;1
20232593;2,02326E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/2/2023 2:10:00 PM;378 N STUART ST;3,12857E+13;1,68847E+13;-1050429452;397227540;4;411;barnum-west;1;0;1
20233597;2,02336E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/3/2023 2:00:00 AM;545 E YALE AVE;3,14615E+13;1,66856E+13;-1049808388;396678563;3;313;rosedale;1;0;1
20236307;2,02363E+13;1315;0;aggravated-assault;aggravated-assault;1/4/2023 5:00:00 PM;E CEDAR AVE / S JACKSON ST;3,15683E+13;1,68509E+13;-1049425518;397130640;3;311;cherry-creek;1;0;1
20232675;2,02327E+13;1315;0;aggravated-assault;aggravated-assault;1/2/2023 12:00:00 PM;20743 E 40TH AVE;3,21154E+13;1,70677E+13;-1047474439;397714877;5;523;gateway-green-valley-ranch;1;0;1
20234669;2,02347E+13;1315;0;aggravated-assault;aggravated-assault;1/3/2023 4:56:00 PM;1400 BLOCK E COLFAX AVE;3,1489E+13;1,69484E+13;-1049705227;397399570;6;622;cheesman-park;1;0;1
20235027;2,0235E+13;1315;0;aggravated-assault;aggravated-assault;1/3/2023 11:50:00 PM;1300 W COLFAX AVE;3,13959E+13;1,6947E+13;-1050036162;397397031;1;123;lincoln-park;1;0;2
20234666;2,02347E+13;1315;1;aggravated-assault-dv;aggravated-assault;1/3/2023 6:56:00 PM;;;;;;3;324;hampden-south;1;0;1
20233352;2,02334E+13;1315;1;aggravated-assault-dv;aggravated-assault;1/3/2023 12:41:00 AM;;;;;;1;121;west-colfax;1;0;1
20231843;2,02318E+13;1315;1;aggravated-assault-dv;aggravated-assault;1/2/2023 12:29:00 AM;;;;;;5;522;gateway-green-valley-ranch;1;0;1
20234107;2,02341E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/3/2023 1:17:00 PM;3730 N QUEBEC ST;3,16836E+13;1,70561E+13;-1049010667;397691850;5;512;central-park;1;0;1
20234823;2,02348E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/1/2023 2:55:00 AM;1700 BLK CHESTNUT PL;3,14016E+13;1,70037E+13;-1050014788;397552570;6;612;union-station;1;0;1
20234891;2,02349E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/3/2023 9:48:00 PM;100 N KNOX CT;3,13158E+13;1,68687E+13;-1050322597;397183250;4;411;barnum;1;0;1
20235662;2,02357E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/4/2023 11:00:00 AM;1727 N PEARL ST;3,14617E+13;1,69626E+13;-1049802155;397438875;6;621;north-capitol-hill;1;0;1
20236887;2,02369E+13;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/4/2023 11:39:00 PM;5300 E THRILL PL;3,16149E+13;1,70319E+13;-1049255706;397626554;2;221;northeast-park-hill;1;0;4
20235201;2,02352E+13;1315;0;aggravated-assault;aggravated-assault;1/4/2023 4:56:00 AM;100 E 9TH AVE;3,14459E+13;1,6913E+13;-1049859089;397303097;6;623;capitol-hill;1;0;1
20235658;2,02357E+13;1315;0;aggravated-assault;aggravated-assault;1/4/2023 11:13:00 AM;W 10TH AVE / N BANNOCK ST;3,14337E+13;1,69193E+13;-1049902588;397320526;6;611;civic-center;1;0;1
202310972;2,02311E+14;1314;1;weapon-fire-into-occ-veh;aggravated-assault;1/7/2023 3:37:00 AM;10100 BLK E HARVARD AVE;3,17717E+13;1,67015E+13;-1048706258;396716665;3;323;hampden;1;0;1
202310092;2,0231E+14;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/5/2023 8:40:00 PM;1873 S MEADE ST;3,1304E+13;1,67401E+13;-1050366768;396830325;4;421;mar-lee;1;0;2
20236647;2,02366E+13;1315;0;aggravated-assault;aggravated-assault;1/4/2023 8:51:00 PM;3790 N QUEBEC ST;3,1681E+13;1,70562E+13;-1049020021;397692035;5;512;central-park;1;0;1
202313425;2,02313E+14;1315;0;aggravated-assault;aggravated-assault;1/8/2023 2:35:00 PM;2800 W ALAMEDA AVE;3,13419E+13;1,68414E+13;-1050230434;397107879;4;412;athmar-park;1;0;1
202312515;2,02313E+14;1315;0;aggravated-assault;aggravated-assault;1/7/2023 11:40:00 PM;18TH ST / WAZEE ST;3,14125E+13;1,69958E+13;-1049976246;397530828;6;612;union-station;1;0;4
20236508;2,02365E+13;1315;0;aggravated-assault;aggravated-assault;1/4/2023 7:20:00 PM;2300 BLOCK TREMONT PL;3,14609E+13;1,69853E+13;-1049804431;397501339;6;621;five-points;1;0;5
202312545;2,02313E+14;1315;0;aggravated-assault;aggravated-assault;1/7/2023 11:52:00 PM;1700 WEWATTA ST;3,14027E+13;1,69988E+13;-1050011007;397539157;6;612;union-station;1;0;1
202312492;2,02312E+14;1315;2;menacing-felony-w-weap;aggravated-assault;1/8/2023 12:18:00 AM;5100 BLOCK E 46TH AVE;3,16065E+13;1,70952E+13;-1049284274;397800604;2;221;northeast-park-hill;1;0;1
202312656;2,02313E+14;1315;2;menacing-felony-w-weap;aggravated-assault;1/8/2023 1:43:00 AM;1428 W MISSISSIPPI AVE;3,13936E+13;1,67895E+13;-1050047537;396964642;4;422;ruby-hill;1;0;1
202310910;2,02311E+14;1315;2;menacing-felony-w-weap;aggravated-assault;1/7/2023 2:08:00 AM;1532 WELTON ST;3,14284E+13;1,69623E+13;-1049920293;397438649;6;611;cbd;1;0;1
20234837;2,02348E+13;1315;2;menacing-felony-w-weap;aggravated-assault;1/3/2023 6:00:00 PM;550 N BRYANT ST;3,13548E+13;1,68914E+13;-1050183390;397245171;4;411;valverde;1;0;1
202312738;2,02313E+14;1315;2;menacing-felony-w-weap;aggravated-assault;1/8/2023 3:10:00 AM;900 BLK S HAZEL CT;3,13305E+13;1,68026E+13;-1050271386;397001746;4;412;westwood;1;0;1
202310152;2,0231E+14;1315;2;menacing-felony-w-weap;aggravated-assault;1/6/2023 5:22:00 PM;I70 HWYEB / N HAVANA ST;3,17823E+13;1,70803E+13;-1048658890;397756333;5;511;central-park;1;0;1
202310551;2,02311E+14;1315;2;menacing-felony-w-weap;aggravated-assault;1/6/2023 9:33:00 PM;W ALAMEDA AVE / S SANTA FE DR;3,14147E+13;1,68432E+13;-1049971426;397111934;3;311;baker;1;0;1
202314080;2,02314E+14;1314;2;weapon-fire-into-occ-bldg;aggravated-assault;1/8/2023 10:01:00 PM;3246 N HIGH ST;3,15058E+13;1,70321E+13;-1049643878;397628851;2;211;cole;1;0;1
202314513;2,02315E+14;1315;0;aggravated-assault;aggravated-assault;1/9/2023 6:40:00 AM;1701 CHESTNUT PL;3,13992E+13;1,70023E+13;-1050023421;397548928;6;612;union-station;1;0;1
202315750;2,02316E+14;1315;0;aggravated-assault;aggravated-assault;1/9/2023 9:49:00 PM;4900 N TRENTON ST;3,16976E+13;1,71169E+13;-1048959391;397858444;5;511;central-park;1;0;2
202313993;2,02314E+14;1315;0;aggravated-assault;aggravated-assault;1/8/2023 9:45:00 PM;4766 N PEORIA ST;3,18399E+13;1,711E+13;-1048453459;397836743;5;521;montbello;1;0;1
202314162;2,02314E+14;1315;1;aggravated-assault-dv;aggravated-assault;1/8/2023 11:02:00 PM;;;;;;3;311;speer;1;0;1
